SGD,Momentum,NAG,AdaGrad,RMSProp,Adam,NAdam
0.687715375,0.826773146,0.827106753,0.92176622,0.979455524,0.969947456,0.978312054
0.826654758,0.896038326,0.89548034,0.938590129,0.987207675,0.985579929,0.986481522
0.876311527,0.918266802,0.918163247,0.945427478,0.984338436,0.985874376,0.985244275
0.896355318,0.932510497,0.93282927,0.951446781,0.987382281,0.987564459,0.988329926
0.909362294,0.941908977,0.942086732,0.954713905,0.988067087,0.986491527,0.989532726
0.919875269,0.949099129,0.949167925,0.958123613,0.989394564,0.989427603,0.989431248
0.927757177,0.953691674,0.954206075,0.959063647,0.988028979,0.990777045,0.988499214
0.933091848,0.95859506,0.958857119,0.962202627,0.987668358,0.989318917,0.985020582
0.937804997,0.961101884,0.960928775,0.963695079,0.990158018,0.990328995,0.987258077
0.942275508,0.96311993,0.962954049,0.964577304,0.987965226,0.99134713,0.989574357
